,unique,total,organic,robotic,"robotic,organic",organic__total,robotic__total,"robotic,organic__total",-,Apache-HttpClient,Apache-Jena-ARQ,Asparagus/Asparagus 0.1,BeeMusic.Importer (https://beemusic.kantarmedia.fr/; *),C++ WikiAPI,GuzzleHttp,Jakarta Commons-HttpClient/3.1,Java/1.6.0,Java/1.7.0,Java/1.8.0,Jersey/2.22.1 (HttpUrlConnection 1.8.0_45),Magnus labs tools,Mechanize/2.7.5 Ruby/2.2.7p470 (http://github.com/sparklemotion/mechanize/),MediaWiki/1.30.0-wmf.*,MovieGuide-wikidata/0.1,PBB_core fastrun,PetScan,Python-httplib2,Python-urllib,Pywikibot/3.0-dev,QueryBot/0.1,Ruby,SQID Python Helper,WikidataR - https://github.com/Ironholds/WikidataR,YTCleaner,__find_genus,__match_or_create_species,__match_taxon,automatch,auxiliary_matcher,awarder,axios,beaTunes,beacon,bot_commons,botanists,browser,coords2json,curl,fix_items,https://github.com/bearloga/WikidataQueryServiceR,images_on_wikidata_not_wikipedia,jgonsior-tree,kartotherian-geoshapes/0.0.10 (https://mediawiki.org/Maps),microsync,misc,missing_wp_animal_audio,new_resolve_authors,node-fetch/1.0 (+https://github.com/bitinn/node-fetch),okhttp/3.4.1,orcid_bot,orcidator,osm-wikidata/0.1 (https://github.com/EdwardBetts/osm-wikidata; *),other,python-requests,query,resolver,rest-client2.0.* (*) ruby/*,sparqlwrapper * (rdflib.github.io/sparqlwrapper),taxon_matcher,testing,thorough_name_match,translate_items_with_property,update_dynamic,wd_edit_stats,wdq_image_feed,-__total,Apache-HttpClient__total,Apache-Jena-ARQ__total,Asparagus/Asparagus 0.1__total,BeeMusic.Importer (https://beemusic.kantarmedia.fr/; *)__total,C++ WikiAPI__total,GuzzleHttp__total,Jakarta Commons-HttpClient/3.1__total,Java/1.6.0__total,Java/1.7.0__total,Java/1.8.0__total,Jersey/2.22.1 (HttpUrlConnection 1.8.0_45)__total,Magnus labs tools__total,Mechanize/2.7.5 Ruby/2.2.7p470 (http://github.com/sparklemotion/mechanize/)__total,MediaWiki/1.30.0-wmf.*__total,MovieGuide-wikidata/0.1__total,PBB_core fastrun__total,PetScan__total,Python-httplib2__total,Python-urllib__total,Pywikibot/3.0-dev__total,QueryBot/0.1__total,Ruby__total,SQID Python Helper__total,WikidataR - https://github.com/Ironholds/WikidataR__total,YTCleaner__total,__find_genus__total,__match_or_create_species__total,__match_taxon__total,automatch__total,auxiliary_matcher__total,awarder__total,axios__total,beaTunes__total,beacon__total,bot_commons__total,botanists__total,browser__total,coords2json__total,curl__total,fix_items__total,https://github.com/bearloga/WikidataQueryServiceR__total,images_on_wikidata_not_wikipedia__total,jgonsior-tree__total,kartotherian-geoshapes/0.0.10 (https://mediawiki.org/Maps)__total,microsync__total,misc__total,missing_wp_animal_audio__total,new_resolve_authors__total,node-fetch/1.0 (+https://github.com/bitinn/node-fetch)__total,okhttp/3.4.1__total,orcid_bot__total,orcidator__total,osm-wikidata/0.1 (https://github.com/EdwardBetts/osm-wikidata; *)__total,other__total,python-requests__total,query__total,resolver__total,rest-client2.0.* (*) ruby/*__total,sparqlwrapper * (rdflib.github.io/sparqlwrapper)__total,taxon_matcher__total,testing__total,thorough_name_match__total,translate_items_with_property__total,update_dynamic__total,wd_edit_stats__total,wdq_image_feed__total
P698,14939845,15752202,515.0,14939322.0,8.0,3103.0,15703193.0,45906.0,7.0,,78.0,,,12.0,,,,,,,199.0,,3678.0,,14933216.0,,,,,,,,,,,,,,,,,,,,,523.0,,,99.0,2.0,,,,,,,,,,,,,2.0,4.0,,,,2033.0,,,,,,,,7.0,,78.0,,,120.0,,,,,,,421.0,,4964.0,,15711819.0,,,,,,,,,,,,,,,,,,,,,49009.0,,,99.0,28.0,,,,,,,,,,,,,10.0,692.0,,,,30861.0,,,,,,,
P932,7681907,10052851,58.0,7681848.0,1.0,150.0,10052511.0,190.0,7.0,,74.0,,,10.0,,,,,,,179.0,,1600.0,,7677869.0,1.0,,,,,,,,,,,,,,,,,,,,59.0,,,2099.0,,,,,,,,,,,,,,2.0,2.0,,6.0,,2.0,,,,,,,,7.0,,74.0,,,1204.0,,,,,,,486.0,,2070.0,,10046060.0,251.0,,,,,,,,,,,,,,,,,,,,340.0,,,2110.0,,,,,,,,,,,,,,11.0,682.0,,7.0,,2.0,,,,,,,
P31,5372473,21619474,124368.0,5243926.0,4179.0,288786.0,20053361.0,1277327.0,785474.0,31095.0,158908.0,1261.0,,8.0,7530.0,62042.0,,402.0,27848.0,,8627.0,,,,88159.0,16704.0,1.0,29228.0,196660.0,105520.0,21318.0,2.0,,,,,,,,1.0,2.0,43919.0,,2.0,,418465.0,,121.0,,86.0,122257.0,,7584.0,,,3.0,1964.0,10552.0,3230.0,13.0,,196322.0,9622.0,1314288.0,260.0,,1008.0,1705984.0,1108.0,5.0,,1.0,7.0,10.0,1.0,2312978.0,293008.0,912136.0,2660.0,,323.0,12488.0,174722.0,,1380.0,498535.0,,1106187.0,,,,324385.0,44632.0,296.0,1677430.0,1912254.0,239706.0,24520.0,3715.0,,,,,,,,8.0,24.0,185891.0,,167.0,,4776987.0,,3782.0,,4652.0,130480.0,,89282.0,,,45.0,11450.0,114157.0,17663.0,3311.0,,324008.0,80457.0,5614880.0,716.0,,20471.0,4295996.0,208670.0,822.0,,6.0,2353.0,824.0,3.0
P279,3714982,15840791,51449.0,3660835.0,2698.0,112441.0,15422687.0,305663.0,117715.0,1655.0,10289.0,,,1.0,,97.0,,1563.0,23196.0,,1226.0,,13629.0,,114167.0,331.0,,10541.0,158831.0,105517.0,30748.0,,,,,,,19.0,,1.0,,22542.0,,,,465391.0,,76.0,,63.0,,10.0,7499.0,,,,,21100.0,1125.0,,,196322.0,10887.0,756168.0,52.0,1.0,757.0,1644043.0,540.0,,,,3.0,,1.0,516525.0,52118.0,233217.0,,,44.0,,1180.0,,5512.0,640772.0,,184459.0,,851438.0,,177975.0,1718.0,,203038.0,286998.0,239473.0,34382.0,,,,,,,566.0,,8.0,,111156.0,,,,3004434.0,,619.0,,4192.0,,1640.0,88206.0,,,,,228154.0,1348.0,,,324008.0,38507.0,4494721.0,178.0,1.0,2328.0,4116242.0,104045.0,,,,1011.0,,3.0
P625,1237332,7305262,35464.0,1201069.0,799.0,213065.0,7063722.0,28475.0,69185.0,11.0,137540.0,,,,,1169.0,,778520.0,1348.0,,1737.0,,82324.0,,,104.0,,2207.0,26.0,,4.0,,952.0,,,,,,3459.0,,,,,,,131362.0,27.0,9.0,,68.0,,,2675.0,,,,,,,,,594.0,3840.0,6299.0,68.0,,,14298.0,,,,,,1.0,,313574.0,459.0,750900.0,,,,,22782.0,,1818522.0,4098.0,,60738.0,,134508.0,,,598.0,,6742.0,5756.0,,146.0,,19041.0,,,,,,2201348.0,,,,,,,1302712.0,172.0,77.0,,3372.0,,,17156.0,,,,,,,,,1420.0,9539.0,615196.0,135.0,,,40856.0,,,,,,1.0,
P18,1193397,20315713,32340.0,1158450.0,2607.0,186331.0,19882641.0,246741.0,793505.0,,1279.0,,,16.0,21508.0,,4433.0,1.0,56635.0,,482.0,,,,1.0,31.0,,15640.0,17.0,,42610.0,,,,,,,,,,1573.0,,4.0,,,115221.0,27.0,3.0,,11.0,122257.0,,2692.0,,,,,,180.0,,,,226.0,555.0,478.0,,,16158.0,,,,,2.0,1.0,1.0,2986764.0,,7175.0,,,1310.0,15581674.0,,29022.0,115.0,345484.0,,20213.0,,,,16.0,755.0,,17310.0,367.0,,48252.0,,,,,,,,,,2034.0,,373.0,,,1103929.0,172.0,17.0,,83.0,130480.0,,17029.0,,,,,,258.0,,,,2447.0,3863.0,1428.0,,,123142.0,,,,,666.0,23.0,3.0
P352,970273,1666935,1039.0,969218.0,16.0,7226.0,1659181.0,528.0,6.0,,74.0,,,6.0,,,,,,,,,262.0,,968115.0,,,,,,,,,,,,,,,,,,45.0,,,1759.0,,,,,,,,,,,,,,,,,6.0,,,,,18.0,,,,,,,,6.0,,74.0,,,148.0,,,,,,,,,368.0,,1651953.0,,,,,,,,,,,,,,,,,,244.0,,,14435.0,,,,,,,,,,,,,,,,,58.0,,,,,181.0,,,,,,,
P131,966216,23900585,25012.0,940899.0,305.0,173525.0,23708472.0,18588.0,142758.0,8.0,1655.0,,,,,990.0,,389260.0,221.0,,261664.0,,,,3.0,168.0,,1886.0,41.0,,7.0,,942.0,,,,,,,,,,,,,31553.0,27.0,15.0,,1.0,,,8051.0,,,,,,12.0,,,,5130.0,120009.0,61.0,,,2064.0,,1104.0,,,5.0,1.0,,378721.0,12.0,26328.0,,,,,4119.0,,909261.0,379.0,,21176140.0,,,,6.0,831.0,,5442.0,446.0,,234.0,,10582.0,,,,,,,,,,,,,227098.0,172.0,133.0,,16.0,,,108430.0,,,,,,22.0,,,,9851.0,954006.0,128.0,,,106280.0,,170172.0,,,1846.0,1.0,
P856,800001,3068983,96612.0,703087.0,302.0,115000.0,2856725.0,97258.0,600098.0,8.0,1203.0,,,106.0,,3392.0,,,71.0,,14.0,,38376.0,,2.0,,,5707.0,,,,,,,,,,,166.0,,,,,,,147230.0,,2.0,,3.0,,,,,,,,,,,,,1014.0,1241.0,,,,1672.0,,,,,,,,2034601.0,29.0,2901.0,,,16532.0,,13438.0,,,369.0,,813.0,,70768.0,,108.0,,,6057.0,,,,,,,,,,,195923.0,,,,,,,813892.0,,21.0,,7.0,,,,,,,,,,,,,1329.0,5078.0,,,,4399.0,,,,,,,
P1282,784615,1296038,88.0,784503.0,24.0,258.0,1295696.0,84.0,7.0,,88.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,,,,,,,,,,,,,,,,784403.0,2.0,7.0,,,,,,,,,,,,476.0,,88.0,,,1246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.0,,,,,,,,,,,,,,,,1293938.0,11.0,21.0,,,,,,,,,,,
